"city","hotel","description","url","coords","avg_temperature_7days"
"Mont-Saint-Michel","Chambres d'Hôtes Les Vieilles Digues","Occupant une maison bretonne restaurée, l'établissement à la gestion familiale Chambres d'Hôtes Les Vieilles Digues est situé à Beauvoir, à 3 km du Mont-Saint-Michel. ","https://www.booking.com
/hotel/fr/chambres-d-ha-tes-les-vieilles-digues.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=15&hpos=15&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl","-1.51159912347794,48.604187504415",16.35857143
"Mont-Saint-Michel","Auberge de la Baie","Situé dans la campagne normande, cet hôtel vous propose une connexion Wi-Fi gratuite et un restaurant doté d'une terrasse sur place. ","https://www.booking.com
/hotel/fr/auberge-de-la-baie.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=14&hpos=14&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl","-1.48825317621231,48.6159931765559",16.35857143
"Mont-Saint-Michel","Auberge Saint Pierre","L'Auberge Saint-Pierre occupe une maison à colombages du XIVe siècle située au Mont-Saint-Michel, une île accessible à marée basse. ","https://www.booking.com
/hotel/fr/auberge-saint-pierre.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=13&hpos=13&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","-1.5098825097084,48.6356879786914",16.35857143
"Mont-Saint-Michel","La Mère Poulard","Occupant un bâtiment historique, l'hôtel La Mère Poulard jouit d'un emplacement idéal au cœur du Mont-Saint-Michel. ","https://www.booking.com
/hotel/fr/la-mere-poulard.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=12&hpos=12&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","-1.51053965091705,48.635085317234",16.35857143
"Mont-Saint-Michel","Hôtel la Croix Blanche","Situé au cœur du village médiéval du Mont-Saint-Michel, l'Hôtel La Croix Blanche possède une terrasse et un bar. ","https://www.booking.com
/hotel/fr/ha-el-la-croix-blanche.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=11&hpos=11&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","-1.50986105203629,48.6357340642713",16.35857143
"Mont-Saint-Michel","Le Mouton Blanc","Situé au pied de l'abbaye, le Mouton Blanc Hotel vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables avec une décoration simple et accueillante. ","https://www.booking.com
/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","-1.50989592075348,48.6360229844471",16.35857143
"Mont-Saint-Michel","Hotel Gabriel","L'Hotel Gabriel se trouve à 1,6 km du Mont-Saint-Michel et à seulement 25 minutes à pied des remparts de la vieille ville. ","https://www.booking.com
/hotel/fr/hotel-gabriel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","-1.5107099711895,48.6153814136834",16.35857143
"Mont-Saint-Michel","La Vieille Auberge","La Vieille Auberge vous accueille dans le village médiéval du Mont-Saint-Michel, à quelques pas de la célèbre abbaye du Mont-Saint-Michel. ","https://www.booking.com
/hotel/fr/la-vieille-auberge-le-mont-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","-1.511457,48.636063",16.35857143
"Mont-Saint-Michel","CAMPING AUX POMMIERS - TOHAPI","Situé au Mont-Saint-Michel, en Basse-Normandie, le CAMPING AUX POMMIERS - TOHAPI propose un hébergement avec un parking privé gratuit. ","https://www.booking.com
/hotel/fr/camping-aux-pommiers-tohapi.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","-1.5101,48.613555",16.35857143
"Mont-Saint-Michel","Le Relais Saint Michel","Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. ","https://www.booking.com
/hotel/fr/le-relais-saint-michel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaDuIAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4AtjPrIsGwAIB0gIkYjhhYjhhNWYtNzBkYi00MWFmLWE5NDgtMGU2MzllYzNiYjIx2AIF4AIB&sid=1722bdc5d687b18a94ae6c844968f8bc&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1634412506&srpvid=76eb88ed9574005f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","-1.51039615273476,48.6175872716489",16.35857143
